,Hospital Name,Beds,City,State
1609,Crossroads,0,Batesville,MS
1610,Crossroads Community Hospital,47,Mount Vernon,IL
1611,Crouse Hospital,502,Syracuse,NY
1612,Crow/Northern Cheyenne Hospital,24,Crow Agency,MT
1613,Crownpoint Health Care Facility,19,Crownpoint,NM
1614,Crozer-Chester Medical Center,449,Upland,PA
1615,Crystal Clinic Orthopaedic Center,59,Akron,OH
1616,Cuba Memorial Hospital,81,Cuba,NY
1617,Culberson Hospital,14,Van Horn,TX
1618,Cullman Regional Medical Center,145,Cullman,AL
1619,Cumberland County Hospital,25,Burkesville,KY
1620,Cumberland Hall Hospital,97,Hopkinsville,KY
1621,Cumberland Hospital for Children and Adolescents,0,New Kent,VA
1622,Cumberland Medical Center,73,Crossville,TN
1623,Cumberland Memorial Hospital,25,Cumberland,WI
1624,Curahealth Oklahoma City,78,Oklahoma City,OK
1625,Curahealth Heritage Valley,35,Beaver,PA
1626,Curahealth Hospital Jacksonville,107,Jacksonville,FL
1627,Curahealth Nashville,0,Nashville,TN
1628,Curahealth New Orleans,66,New Orleans,LA
1629,Curahealth Oklahoma City South,0,Oklahoma City,OK
1630,Curahealth Phoenix Northwest,58,Phoenix,AZ
1631,Curahealth Pittsburgh,63,Oakdale,PA
1632,Curahealth Stoughton,88,Stoughton,MA
1633,Curahealth Tucson,47,Tucson,AZ
1634,Curry General Hospital,16,Gold Beach,OR
1635,Cypress Creek Hospital,128,Houston,TX
1636,Cypress Grove Behavioral Health Hospital,60,Bastrop,LA
1637,Cypress Pointe Surgical Hospital,30,Hammond,LA
1638,D.W. McMillan Memorial Hospital,46,Brewton,AL
1639,Dahl Memorial Healthcare Association,25,Ekalaka,MT
1640,Dale Medical Center,89,Ozark,AL
1641,Dallas Behavioral Healthcare Hospital,116,De Soto,TX
1642,Dallas County Hospital,25,Perry,IA
1643,Dallas County Medical Center,22,Fordyce,AR
1644,Dallas Medical Center,119,Dallas,TX
1645,Dallas Regional Medical Center,202,Mesquite,TX
1646,Dallas VA Medical Center,0,Dallas,TX
1647,Dameron Hospital,170,Stockton,CA
1648,Dana-Farber Cancer Institute,30,Boston,MA
1649,Danbury Hospital,396,Danbury,CT
1650,Daniel Drake Center at The Christ Hospital,0,Cincinnati,OH
1651,Daniels Memorial Healthcare Center,25,Scobey,MT
1652,Danville Hospital Main Campus,133,Danville,IN
1653,Danville State Hospital,161,Danville,PA
1654,Dardanelle Regional Medical Center,35,Dardanelle,AR
1655,Dartmouth-Hitchcock Medical Center,422,Lebanon,NH
1656,Daviess Community Hospital,74,Washington,IN
1657,Davis County Hospital,25,Bloomfield,IA
1658,Davis Hospital and Medical Center,205,Layton,UT
1659,Davis Medical Center,90,Elkins,WV
1660,Davis Regional Medical Center,140,Statesville,NC
1661,Day Kimball Hospital,104,Putnam,CT
1662,Dayton Children's Hospital,177,Dayton,OH
1663,Dayton General Hospital,48,Dayton,WA
1664,Dayton VA Medical Center,0,Dayton,OH
1665,DCH Regional Medical Center,593,Tuscaloosa,AL
1666,Deaconess Cross Pointe,60,Evansville,IN
1667,Deaconess Gateway Hospital,0,Newburgh,IN
1668,Deaconess Midtown Hospital,547,Evansville,IN
1669,Deborah Heart and Lung Center,86,Browns Mills,NJ
1670,Decatur County General Hospital,40,Parsons,TN
1671,Decatur County Hospital,11,Leon,IA
1672,Decatur County Hospital,21,Oberlin,KS
1673,Decatur County Memorial Hospital,25,Greensburg,IN
1674,Decatur Memorial Hospital,222,Decatur,IL
1675,Decatur Morgan Hospital,264,Decatur,AL
1676,Decatur Morgan Hospital-Parkway Campus,120,Decatur,AL
1677,Deckerville Community Hospital,15,Deckerville,MI
1678,Deer Lodge Medical Center,16,Deer Lodge,MT
1679,Deer's Head Hospital Center,146,Salisbury,MD
1680,DeKalb Regional Medical Center,115,Fort Payne,AL
1681,Del Amo Hospital,166,Torrance,CA
1682,Del Sol Medical Center,314,El Paso,TX
1683,Delano Regional Medical Center,107,Delano,CA
1684,Delaware County Memorial Hospital,168,Drexel Hill,PA
1685,Delaware Psychiatric Center,115,New Castle,DE
1686,Delhi Hospital of Richland Parish,25,Delhi,LA
1687,Dell Children's Medical Center of Central Texas,203,Austin,TX
1688,Dell Seton Medical Center at The University of Texas,0,Austin,TX
1689,Delray Medical Center,512,Delray Beach,FL
1690,Delta Community Hospital,18,Delta,UT
1691,Delta County Memorial Hospital,49,Delta,CO
1692,Delta Medical Center,223,Memphis,TN
1693,Delta Memorial Hospital,25,Dumas,AR
1694,Delta Regional Medical Center,201,Greenville,MS
1695,Denver Health,453,Denver,CO
1696,Denver Springs,96,Englewood,CO
1697,Department of State Hospitals - Atascadero,0,Atascadero,CA
1698,Department of State Hospitals-Patton,0,Patton,CA
1699,DeQuincy Memorial Hospital,29,DeQuincy,LA
1700,Desert Parkway Behavioral Healthcare Hospital,152,Las Vegas,NV
1701,Desert Regional Medical Center,369,Palm Springs,CA
1702,Desert Springs Hospital Medical Center,293,Las Vegas,NV
1703,Desert Valley Hospital,148,Victorville,CA
1704,Desert View Hospital,25,Pahrump,NV
1705,DeSoto Memorial Hospital,49,Arcadia,FL
1706,Desoto Regional Health System,34,Mansfield,LA
1707,DeTar Hospital Navarro,200,Victoria,TX
1708,DeTar Hospital North,145,Victoria,TX
1709,Dewitt Hospital & Nursing Home,85,De Witt,AR
1710,DHR Health,519,Edinburg,TX
1711,Diamond Grove Center,0,Louisville,MS
1712,Dickenson Community Hospital,12,Clintwood,VA
1713,Dickinson County Healthcare System,39,Iron Mountain,MI
1714,Dignity Health - Saint Rose Dominican Sahara Campus,0,Las Vegas,NV
1715,Dignity Health - St. Rose Dominican Rose de Lima Campus,110,Henderson,NV
1716,Dignity Health - St. Rose Dominican Siena Campus,326,Henderson,NV
1717,Dignity Health Arizona General Hospital Laveen,16,Laveen,AZ
1718,Dignity Health Arizona General Hospital Mesa,0,Mesa,AZ
1719,Dignity Health East Valley Rehabilitation Hospital,50,Chandler,AZ
1720,Dignity Health Saint Rose Dominican North Las Vegas Campus,32,North Las Vegas,NV
1721,Dignity Health St. Rose Dominican's Blue Diamond Campus,0,Las Vegas,NV
1722,"Dignity Health-Saint Rose Dominican, West Flamingo Campus",0,Las Vegas,NV
1723,Dignity Health-St. Rose Dominican San Martin Campus,136,Las Vegas,NV
1724,Diley Ridge Medical Center,10,Canal Winchester,OH
1725,Dimmit Regional Hospital,25,Carrizo Springs,TX
1726,District One Hospital,32,Faribault,MN
1727,Divine Savior Healthcare,126,Portage,WI
1728,Dixie Regional Medical Center,284,Saint George,UT
1729,DMC Detroit Receiving Hospital,214,Detroit,MI
1730,DMC Harper University Hospital,368,Detroit,MI
1731,DMC Heart Hospital,0,Detroit,MI
1732,DMC Huron Valley-Sinai Hospital,130,Commerce,MI
1733,DMC Hutzel Women's Hospital,0,Detroit,MI
1734,DMC Rehabilitation Institute of Michigan,68,Detroit,MI
1735,DMC Sinai-Grace Hospital,390,Detroit,MI
1736,Doctor Dan C. Trigg Memorial Hospital,25,Tucumcari,NM
1737,Doctor's Center Hospital Bayamon,146,Bayamon,PR
1738,Doctors Center Hospital,262,Manati,PR
1739,Doctors Community Hospital,190,Lanham,MD
1740,Doctors Community Hospital,129,San Juan,PR
1741,Doctors Hospital,9,Leawood,KS
1742,Doctors Hospital,281,Coral Gables,FL
1743,Doctors Hospital at Deer Creek,10,Leesville,LA
1744,Doctors Hospital of Augusta,288,Augusta,GA
1745,Doctors Hospital of Laredo,183,Laredo,TX
1746,Doctors Hospital of Manteca,73,Manteca,CA
1747,Doctors Hospital of Sarasota,155,Sarasota,FL
1748,Doctors Medical Center of Modesto,447,Modesto,CA
1749,Doctors Memorial Hospital,20,Bonifay,FL
1750,Doctors NeuroPsychiatric Hospital and Research Institute,37,Bremen,IN
1751,Doctors' Center Hospital,109,Manati,PR
1752,Doctors' Memorial Hospital,48,Perry,FL
1753,Dodge County Hospital,50,Eastman,GA
1754,Dominican Hospital,222,Santa Cruz,CA
1755,Dominion Hospital,116,Falls Church,VA
1756,Donalsonville Hospital,140,Donalsonville,GA
1757,Door County Medical Center,55,Sturgeon Bay,WI
1758,Doris Miller Department of Veterans Affairs Medical Center,0,Waco,TX
1759,Dorminy Medical Center,60,Fitzgerald,GA
1760,Dorothea Dix Psychiatric Center,51,Bangor,ME
1761,Dosher Memorial Hospital,25,Southport,NC
1762,Douglas County Health Center,270,Omaha,NE
1763,Douglas County Memorial Hospital,11,Armour,SD
1764,Dover Behavioral Health System,99,Dover,DE
1765,Down East Community Hospital,25,Machias,ME
1766,Doylestown Hospital,217,Doylestown,PA
1767,Dr. P. Phillips Hospital,0,Orlando,FL
1768,Drew Memorial Hospital,49,Monticello,AR
1769,Driscoll Children's Hospital,162,Corpus Christi,TX
1770,Drumright Regional Hospital,15,Drumright,OK
1771,DSH - Metropolitan,1050,Norwalk,CA
1772,Dublin VA Medical Center,0,Dublin,GA
1773,Duke Raleigh Hospital,175,Raleigh,NC
1774,Duke Regional Hospital,354,Durham,NC
1775,Duke University Hospital,977,Durham,NC
1776,Dukes Memorial Hospital,25,Peru,IN
1777,Duncan Regional Hospital,110,Duncan,OK
1778,Dundy County Hospital,14,Benkelman,NE
1779,Dunes Surgery Hospital,38,Dakota Dunes,SD
1780,Dupont Hospital,131,Fort Wayne,IN
1781,Durham VA Medical Center,0,Durham,NC
1782,Dyersburg Hospital,109,Dyersburg,TN
1783,Eagleville Hospital,83,Eagleville,PA
1784,East Adams Rural Hospital,12,Ritzville,WA
1785,East Alabama Medical Center,515,Opelika,AL
1786,East Alabama Medical Center - Lanier,187,Valley,AL
1787,East Carroll Parish Hospital,23,Lake Providence,LA
1788,East Central Regional Hospital - Augusta Campus,110,Augusta,GA
1789,East Central Regional Hospital - Gracewood Campus,0,Gracewood,GA
1790,East Cooper Medical Center,130,Mount Pleasant,SC
1791,East Georgia Regional Medical Center,142,Statesboro,GA
1792,East Jefferson General Hospital,394,Metairie,LA
1793,East Liverpool City Hospital,152,East Liverpool,OH
1794,East Los Angeles Doctors Hospital,127,Los Angeles,CA
1795,East Mississippi State Hospital,0,Meridian,MS
1796,East Morgan County Hospital,25,Brush,CO
1797,East Orange General Hospital,196,East Orange,NJ
1798,East Tennessee Children's Hospital,0,Knoxville,TN
1799,Eastern Idaho Regional Medical Center,271,Idaho Falls,ID
1800,Eastern Louisiana Health System - Feliciana Forensic Facility,337,Jackson,LA
1801,Eastern New Mexico Medical Center,162,Roswell,NM
1802,Eastern Niagara Hospital-Lockport,135,Lockport,NY
1803,Eastern Oklahoma Medical Center,35,Poteau,OK
1804,Eastern Plumas Health Care,75,Portola,CA
1805,Eastern Shore Hospital Center,84,Cambridge,MD
1806,Eastern State Hospital,195,Lexington,KY
1807,Eastern State Hospital,317,Medical Lake,WA
1808,Eastland Memorial Hospital,36,Eastland,TX
1809,Easton Hospital,190,Easton,PA
1810,EastPointe Hospital,66,Daphne,AL
1811,Eastside Medical Center,287,Snellville,GA
1812,Eaton Rapids Medical Center,20,Eaton Rapids,MI
1813,Ed Fraser Memorial Hospital,89,MacClenny,FL
1814,Eden Medical Center,130,Castro Valley,CA
1815,Eden Springs Nursing and Rehabilitation Center West,156,Green Springs,OH
1816,Edgefield County Hospital,25,Edgefield,SC
1817,Edgerton Hospital and Health Services,18,Edgerton,WI
1818,Edgewood Surgical Hospital,10,Transfer,PA
1819,Edinburg Children's Hospital,0,Edinburg,TX
1820,Edinburg Regional Medical Center,838,Edinburg,TX
1821,Edith Nourse Rogers Memorial Veterans Hospital,0,Bedford,MA
1822,"Edward Hines, Jr. VA Hospital",0,Hines,IL
1823,Edward Hospital,298,Naperville,IL
1824,Edwards County Hospital and Healthcare Center,22,Kinsley,KS
1825,Effingham Hospital,130,Springfield,GA
1826,Einstein Medical Center Elkins Park,154,Elkins Park,PA
1827,Einstein Medical Center Montgomery,170,East Norriton,PA
1828,Einstein Medical Center Philadelphia,697,Philadelphia,PA
1829,Eisenhower Army Medical Center,0,Fort Gordon,GA
1830,Eisenhower Medical Center,368,Rancho Mirage,CA
1831,El Camino Hospital Los Gatos Campus,0,Los Gatos,CA
1832,El Camino Hospital Mountain View Campus,443,Mountain View,CA
1833,El Campo Memorial Hospital,26,El Campo,TX
1834,El Centro Regional Medical Center,161,El Centro,CA
1835,El Paso Behavioral Health System,166,El Paso,TX
1836,El Paso Children's Hospital,122,El Paso,TX
1837,El Paso Ltac Hospital,33,El Paso,TX
1838,El Paso Psychiatric Center,74,El Paso,TX
1839,Elbert Memorial Hospital,52,Elberton,GA
1840,Eleanor Slater Hospital,495,Cranston,RI
1841,Eleanor Slater Hospital Zambarano Unit,0,Pascoag,RI
1842,Electra Memorial Hospital,19,Electra,TX
1843,Elgin Mental Health Center,383,Elgin,IL
1844,Elkhart General Hospital,230,Elkhart,IN
1845,Elkhorn Valley Rehabilitation Hospital,40,Casper,WY
1846,Elkview General Hospital,38,Hobart,OK
1847,Ellenville Regional Hospital,15,Ellenville,NY
1848,Ellett Memorial Hospital,25,Appleton City,MO
1849,Ellinwood District Hospital,25,Ellinwood,KS
1850,Elliot Hospital,240,Manchester,NH
1851,Ellis Hospital,416,Schenectady,NY
1852,Ellsworth County Medical Center,18,Ellsworth,KS
1853,Elmhurst Hospital,282,Elmhurst,IL
1854,Elmira Psychiatric Center,80,Elmira,NY
1855,Elmore Community Hospital,33,Wetumpka,AL
1856,Ely Bloomenson Community Hospital,16,Ely,MN
1857,Emanate Health Foothill Presbyterian Hospital,105,Glendora,CA
1858,Emanate Health Inter-Community Hospital,516,Covina,CA
1859,Emanate Health Queen of the Valley Hospital,325,West Covina,CA
1860,Emanuel Medical Center,209,Turlock,CA
1861,Emanuel Medical Center,109,Swainsboro,GA
1862,Emerald Coast Behavioral Hospital,86,Panama City,FL
1863,Emerson Hospital,160,Concord,MA
1864,Emory Decatur Hospital,422,Decatur,GA
1865,Emory Johns Creek Hospital,118,Johns Creek,GA
1866,Emory Long-Term Acute Care,38,Decatur,GA
1867,Emory Rehabilitation Hospital,56,Atlanta,GA
1868,Emory Saint Joseph's Hospital,274,Atlanta,GA
1869,Emory University Hospital,622,Atlanta,GA
1870,Emory University Hospital at Wesley Woods,71,Atlanta,GA
1871,Emory University Hospital Midtown,475,Atlanta,GA
1872,Emory University Orthopaedics & Spine Hospital,0,Tucker,GA
1873,Encino Hospital Medical Center,148,Encino,CA
1874,Encompass Health Rehabilitation Hospital of Tinton Falls,60,Tinton Falls,NJ
1875,Encompass Health Deaconess Rehabilitation Hospital,103,Newburgh,IN
1876,Encompass Health Lakeshore Rehabilitation Hospital,100,Birmingham,AL
1877,Encompass Health Rehabilitation Hospital of Harmarville,162,Pittsburgh,PA
1878,Encompass Health Rehabilitation Hospital of Richmond,40,Richmond,VA
1879,Encompass Health Rehabilitation Hospital of Abilene,60,Abilene,TX
1880,Encompass Health Rehabilitation Hospital of Albuquerque,87,Albuquerque,NM
1881,Encompass Health Rehabilitation Hospital of Alexandria,47,Alexandria,LA
1882,Encompass Health Rehabilitation Hospital of Altamonte Springs,60,Altamonte Springs,FL
1883,Encompass Health Rehabilitation Hospital of Altoona,80,Altoona,PA
1884,Encompass Health Rehabilitation Hospital of Arlington,85,Arlington,TX
1885,Encompass Health Rehabilitation Hospital of Austin,83,Austin,TX
1886,Encompass Health Rehabilitation Hospital of Bakersfield,86,Bakersfield,CA
1887,Encompass Health Rehabilitation Hospital of Bluffton,0,Bluffton,SC
1888,Encompass Health Rehabilitation Hospital of Braintree,187,Braintree,MA
1889,Encompass Health Rehabilitation Hospital of Braintree at Framingham,0,Framingham,MA
1890,Encompass Health Rehabilitation Hospital of Charleston,49,Charleston,SC
1891,Encompass Health Rehabilitation Hospital of Chattanooga,50,Chattanooga,TN
1892,Encompass Health Rehabilitation Hospital of Cincinnati,100,Cincinnati,OH
1893,Encompass Health Rehabilitation Hospital of Cincinnati at Norwood,0,Norwood,OH
1894,Encompass Health Rehabilitation Hospital of City View,62,Fort Worth,TX
1895,Encompass Health Rehabilitation Hospital of Colorado Springs,62,Colorado Springs,CO
1896,Encompass Health Rehabilitation Hospital of Columbia,96,Columbia,SC
1897,Encompass Health Rehabilitation Hospital of Concord,50,Concord,NH
1898,Encompass Health Rehabilitation Hospital of Cypress,60,Houston,TX
1899,Encompass Health Rehabilitation Hospital of Dallas,40,Dallas,TX
1900,Encompass Health Rehabilitation Hospital of Dayton,50,Dayton,OH
1901,Encompass Health Rehabilitation Hospital of Dothan,51,Dothan,AL
1902,Encompass Health Rehabilitation Hospital of East Valley,57,Mesa,AZ
1903,Encompass Health Rehabilitation Hospital of Erie,100,Erie,PA
1904,Encompass Health Rehabilitation Hospital of Florence,88,Florence,SC
1905,Encompass Health Rehabilitation Hospital of Fort Smith,60,Fort Smith,AR
1906,Encompass Health Rehabilitation Hospital of Franklin,40,Franklin,TN
1907,Encompass Health Rehabilitation Hospital of Gadsden,44,Gadsden,AL
1908,Encompass Health Rehabilitation Hospital of Henderson,90,Henderson,NV
1909,Encompass Health Rehabilitation Hospital of Humble,90,Humble,TX
1910,Encompass Health Rehabilitation Hospital of Huntington,62,Huntington,WV
1911,Encompass Health Rehabilitation Hospital of Jonesboro,80,Jonesboro,AR
1912,Encompass Health Rehabilitation Hospital of Katy,0,Katy,TX
1913,Encompass Health Rehabilitation Hospital of Kingsport,50,Kingsport,TN
1914,Encompass Health Rehabilitation Hospital of Lakeview,40,Elizabethtown,KY
1915,Encompass Health Rehabilitation Hospital of Largo,70,Largo,FL
1916,Encompass Health Rehabilitation Hospital of Las Vegas,79,Las Vegas,NV
1917,Encompass Health Rehabilitation Hospital of Littleton,40,Littleton,CO
1918,Encompass Health Rehabilitation Hospital of Manati,40,Manati,PR
1919,Encompass Health Rehabilitation Hospital of Mechanicsburg,75,Mechanicsburg,PA
1920,Encompass Health Rehabilitation Hospital of Memphis,80,Memphis,TN
1921,Encompass Health Rehabilitation Hospital of Middletown,37,Middletown,DE
1922,Encompass Health Rehabilitation Hospital of Midland Odessa,80,Midland,TX
1923,Encompass Health Rehabilitation Hospital of Modesto,50,Modesto,CA
1924,Encompass Health Rehabilitation Hospital of Montgomery,70,Montgomery,AL
1925,Encompass Health Rehabilitation Hospital of Morgantown,96,Morgantown,WV
1926,Encompass Health Rehabilitation Hospital of MountainView at Bridgeport,0,Bridgeport,WV
1927,Encompass Health Rehabilitation Hospital of New England,210,Woburn,MA
1928,Encompass Health Rehabilitation Hospital of New England at Beverly,0,Beverly,MA
1929,Encompass Health Rehabilitation Hospital of New England at Lowell,0,Lowell,MA
1930,Encompass Health Rehabilitation Hospital of Newnan,50,Newnan,GA
1931,Encompass Health Rehabilitation Hospital of Nittany Valley,73,Pleasant Gap,PA
1932,Encompass Health Rehabilitation Hospital of North Alabama,70,Huntsville,AL
1933,Encompass Health Rehabilitation Hospital of North Memphis,50,Memphis,TN
1934,Encompass Health Rehabilitation Hospital of Northern Kentucky,51,Edgewood,KY
1935,Encompass Health Rehabilitation Hospital of Northern Virginia,60,Aldie,VA
1936,Encompass Health Rehabilitation Hospital of Northwest Tucson,60,Tucson,AZ
1937,Encompass Health Rehabilitation Hospital of Panama City,75,Panama City,FL
1938,Encompass Health Rehabilitation Hospital of Parkersburg,40,Parkersburg,WV
1939,Encompass Health Rehabilitation Hospital of Pearland,40,Pearland,TX
1940,Encompass Health Rehabilitation Hospital of Petersburg,64,Petersburg,VA
1941,Encompass Health Rehabilitation Hospital of Plano,83,Plano,TX
1942,Encompass Health Rehabilitation Hospital of Princeton,60,Princeton,WV
1943,Encompass Health Rehabilitation Hospital of Reading,52,Reading,PA
1944,Encompass Health Rehabilitation Hospital of Richardson,50,Richardson,TX
1945,Encompass Health Rehabilitation Hospital of Rock Hill,50,Rock Hill,SC
1946,Encompass Health Rehabilitation Hospital of Salisbury,64,Salisbury,MD
1947,Encompass Health Rehabilitation Hospital of San Antonio,108,San Antonio,TX
1948,Encompass Health Rehabilitation Hospital of San Juan,32,Rio Piedras,PR
1949,Encompass Health Rehabilitation Hospital of Savannah,50,Savannah,GA
1950,Encompass Health Rehabilitation Hospital of Scottsdale,60,Scottsdale,AZ
1951,Encompass Health Rehabilitation Hospital of Sewickley,44,Sewickley,PA
1952,Encompass Health Rehabilitation Hospital of Shelby County,34,Pelham,AL
1953,Encompass Health Rehabilitation Hospital of Spring Hill,80,Brooksville,FL
1954,Encompass Health Rehabilitation Hospital of Sugar Land,50,Sugar Land,TX
1955,Encompass Health Rehabilitation Hospital of Sunrise,126,Sunrise,FL
1956,Encompass Health Rehabilitation Hospital of Tallahassee,76,Tallahassee,FL
1957,Encompass Health Rehabilitation Hospital of Texarkana,60,Texarkana,TX
1958,Encompass Health Rehabilitation Hospital of the Mid Cities,60,Bedford,TX
1959,Encompass Health Rehabilitation Hospital of Treasure Coast,80,Vero Beach,FL
1960,Encompass Health Rehabilitation Hospital of Tustin,48,Tustin,CA
1961,Encompass Health Rehabilitation Hospital of Utah,84,Sandy,UT
1962,Encompass Health Rehabilitation Hospital of Vineland,41,Vineland,NJ
1963,Encompass Health Rehabilitation Hospital of Western Massachusetts,53,Ludlow,MA
1964,Encompass Health Rehabilitation Hospital of Wichita Falls,63,Wichita Falls,TX
1965,Encompass Health Rehabilitation Hospital of York,90,York,PA
1966,Encompass Health Rehabilitation Hospital The Vintage,60,Houston,TX
1967,Encompass Health Rehabilitation Hospital The Woodlands,84,Conroe,TX
1968,Encompass Health Rehabilitation Hospital Toms River,98,Toms River,NJ
1969,Encompass Health Rehabilitation Hospital Vision Park,60,Shenandoah,TX
1970,"Encompass Health Rehabilitation Hospital, a partner of Memorial Hospital at Gulfport",33,Gulfport,MS
1971,"Encompass Health Rehabilitation Hospital, a partner of Washington Regional",80,Fayetteville,AR
1972,"Encompass Health Rehabilitation Hospital, an affiliate of Martin Health",54,Stuart,FL
1973,Encompass Health Rehabilitation Institute of Tucson,80,Tucson,AZ
1974,Encompass Health Rehabilitation of Desert Canyon,50,Las Vegas,NV
1975,Encompass Health Rehabilitation of Fredericksburg,58,Fredericksburg,VA
1976,Encompass Health Valley of the Sun Rehabilitation Hospital,75,Glendale,AZ
1977,Endless Mountains Health Systems,25,Montrose,PA
1978,Englewood Community Hospital,100,Englewood,FL
1979,Englewood Hospital and Medical Center,289,Englewood,NJ
1980,Enloe Medical Center,338,Chico,CA
1981,Ennis Regional Medical Center,60,Ennis,TX
1982,Ephraim McDowell Fort Logan Hospital,25,Stanford,KY
1983,Ephraim McDowell James B. Haggin Hospital,25,Harrodsburg,KY
1984,Ephraim McDowell Regional Medical Center,222,Danville,KY
1985,Epworth Hospital,126,South Bend,IN
1986,Erie County Medical Center,906,Buffalo,NY
1987,Erie VA Medical Center,0,Erie,PA
1988,Erlanger Baroness Hospital,674,Chattanooga,TN
1989,Erlanger Behavioral Health Hospital,88,Chattanooga,TN
1990,Erlanger Bledsoe Hospital,25,Pikeville,TN
1991,Erlanger East Hospital,0,Chattanooga,TN
1992,Erlanger North Hospital,0,Chattanooga,TN
1993,Essentia Health - Ada Hospital,14,Ada,MN
1994,Essentia Health - Holy Trinity Hospital (Graceville),55,Graceville,MN
1995,Essentia Health - Northern Pines,49,Aurora,MN
1996,Essentia Health - Saint Joseph's Medical Center,127,Brainerd,MN
1997,Essentia Health - Virginia,141,Virginia,MN
1998,Essentia Health Deer River,52,Deer River,MN
1999,Essentia Health Duluth,139,Duluth,MN
2000,Essentia Health Fargo,133,Fargo,ND
2001,Essentia Health Fosston,74,Fosston,MN
2002,Essentia Health Saint Mary's - Detroit Lakes,132,Detroit Lakes,MN
2003,Essentia Health Saint Mary's Hospital - Superior,25,Superior,WI
2004,Essentia Health Saint Mary's Medical Center,307,Duluth,MN
2005,Essentia Health Sandstone,9,Sandstone,MN
2006,Essex County Hospital Center,180,Cedar Grove,NJ
2007,Estes Park Medical Center,85,Estes Park,CO
2008,Euclid Hospital,165,Euclid,OH
2009,Eureka Community Health Services,4,Eureka,SD
2010,Eureka Springs Hospital,15,Eureka Springs,AR
2011,Evangelical Community Hospital,132,Lewisburg,PA
2012,Evans Memorial Hospital,59,Claxton,GA
2013,Evanston Hospital,751,Evanston,IL
2014,Evanston Regional Hospital,32,Evanston,WY
2015,Evansville Psychiatric Children's Center,0,Evansville,IN
2016,Evansville State Hospital,0,Evansville,IN
2017,Evergreen Medical Center,44,Evergreen,AL
2018,EvergreenHealth Kirkland,318,Kirkland,WA
2019,EvergreenHealth Monroe,27,Monroe,WA
2020,Excela Frick Hospital,33,Mount Pleasant,PA
2021,Excela Latrobe Hospital,122,Latrobe,PA
2022,Excela Westmoreland Hospital,272,Greensburg,PA
2023,Excelsior Springs Hospital,85,Excelsior Springs,MO
2024,Exeter Hospital,97,Exeter,NH
2025,F.F. Thompson Hospital,291,Canandaigua,NY
2026,F.W. Huston Medical Center,63,Winchester,KS
2027,Fairbanks Hospital,86,Indianapolis,IN
2028,Fairchild Medical Center,25,Yreka,CA
2029,Fairfax Behavioral Health,221,Kirkland,WA
2030,Fairfax Community Hospital,15,Fairfax,OK
2031,Fairfield Medical Center,213,Lancaster,OH
2032,Fairfield Memorial Hospital,55,Fairfield,IL
2033,Fairlawn Rehabilitation Hospital,110,Worcester,MA
2034,Fairmont Regional Medical Center,141,Fairmont,WV
2035,Fairmont Rehabilitation and Wellness,0,San Leandro,CA
2036,Fairmount Behavioral Health System,239,Philadelphia,PA
2037,Fairview Developmental Center,30,Costa Mesa,CA
2038,Fairview Hospital,24,Great Barrington,MA
2039,Fairview Hospital,435,Cleveland,OH
2040,Fairview Park Hospital,160,Dublin,GA
2041,Fairview Range,73,Hibbing,MN
2042,Fairview Regional Medical Center,25,Fairview,OK
2043,Faith Community Hospital,17,Jacksboro,TX
2044,Faith Regional Health Services,129,Norfolk,NE
2045,Fall River Hospital,73,Hot Springs,SD
2046,Fallon Medical Complex,25,Baker,MT
2047,Falls Community Hospital,36,Marlin,TX
2048,Falmouth Hospital,95,Falmouth,MA
2049,Falmouth Treatment Center,0,Falmouth,KY
2050,Family Health West Colorado Canyons Hospital and Medical Center,25,Fruita,CO
2051,Fannin Regional Hospital,50,Blue Ridge,GA
2052,Fargo VA Health Care System,0,Fargo,ND
2053,Faulkton Area Medical Center,12,Faulkton,SD
2054,Fauquier Hospital,97,Warrenton,VA
2055,Fawcett Memorial Hospital,237,Port Charlotte,FL
2056,Fayette County Hospital and Long Term Care,114,Vandalia,IL
2057,Fayette County Memorial Hospital,25,Washington Court House,OH
2058,Fayette Medical Center,167,Fayette,AL
2059,Fayetteville VA Medical Center,0,Fayetteville,NC
2060,Federal Medical Center Butner,0,Butner,NC
2061,Federal Medical Center Carswell,0,Fort Worth,TX
2062,Federal Medical Center Devens,0,Ayer,MA
2063,Federal Medical Center Lexington,0,Lexington,KY
2064,Federal Medical Center Rochester,0,Rochester,MN
2065,Fern Lodge,0,Castro Valley,CA
2066,Ferrell Hospital,25,Eldorado,IL
2067,Ferry County Memorial Hospital,25,Republic,WA
2068,FHN Memorial Hospital,100,Freeport,IL
2069,Field Memorial Community Hospital,16,Centreville,MS
2070,Fillmore Community Medical Center,19,Fillmore,UT
2071,Fillmore County Hospital,30,Geneva,NE
2072,Firelands Regional Medical Center - South Campus,0,Sandusky,OH
2073,Firelands Regional Medical Center Main Campus,217,Sandusky,OH
2074,First Care Health Center,14,Park River,ND
2075,First Hospital Wyoming Valley,127,Kingston,PA
2076,First Surgical Hospital,19,Bellaire,TX
2077,First Texas Hospital,12,Houston,TX
2078,FirstHealth Montgomery Memorial Hospital,4,Troy,NC
2079,FirstHealth Moore Regional Hospital,449,Pinehurst,NC
2080,FirstHealth Moore Regional Hospital-Hoke Campus,0,Raeford,NC
2081,FirstHealth Moore Regional Hospital-Richmond,141,Rockingham,NC
